responseid,distributionchannel,q43,social_media_use,how_often_1,how_often_2,how_often_3,how_often_4,how_often_5,how_often_6,how_often_7,how_often_8,how_often_9,how_often_10,how_often_11,tweets_public,insta_public,researchers_1,researchers_2,researchers_3,researchers_4,researchers_5,researchers_6,researchers_7,researchers_8,researchers_9,researchers_10,researchers_11,researchers_12,researchers_13,researchers_14,researchers_15,researchers_16,researchers_17,researchers_18,researchers_19,researchers_20,sm_companies_1,sm_companies_2,sm_companies_3,sm_companies_4,sm_companies_5,sm_companies_6,sm_companies_7,sm_companies_8,sm_companies_9,sm_companies_10,sm_companies_11,sm_companies_12,sm_companies_13,sm_companies_14,sm_companies_15,sm_companies_16,sm_companies_17,sm_companies_18,sm_companies_19,sm_companies_20,journalists_1,journalists_2,journalists_3,journalists_4,journalists_5,journalists_6,journalists_7,journalists_8,journalists_9,journalists_10,journalists_11,journalists_12,journalists_13,journalists_14,journalists_15,journalists_16,sometimes,sometimes_text,digital_privacy_1,digital_privacy_2,digital_privacy_3,digital_privacy_4,social_science,data_archive_1,data_archive_2,data_archive_3,data_archive_4,data_archive_5,secure_archive,anonymous_archive,concern-misuse,concern-harm,age,gender_identity_1,gender_identity_2,gender_identity_3,gender_identity_4,gender_identity_5,gender_identity_6,sexual_orientation_1,sexual_orientation_2,sexual_orientation_3,sexual_orientation_4,sexual_orientation_5,race_ethnicity_1,race_ethnicity_2,race_ethnicity_3,race_ethnicity_4,race_ethnicity_5,race_ethnicity_6,race_ethnicity_7,race_ethnicity_8,race_ethnicity_9,education,income,sensitivity_1,sensitivity_2,sensitivity_3,sensitivity_4,sensitivity_5,sensitivity_6,sensitivity_7,sensitivity_8,sensitivity_9,sensitivity_10,sensitivity_11,sensitivity_12,sensitivity_13,sensitivity_14,sensitivity_15,sensitivity_16,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,privacy_behaviors_1,privacy_behaviors_2,privacy_behaviors_3,privacy_behaviors_4,privacy_behaviors_5,privacy_behaviors_6,privacy_behaviors_7
R_1LXAwKNupB5mzfU,anonymous,Yes,Yes,Several Times a Day,A Few Times a Week,About Once a Day,Less Often,Every Few Weeks,A Few Times a Week,Several Times a Day,Every Few Weeks,A Few Times a Week,Every Few Weeks,-99,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,-99,Disagree,Agree,Agree,Disagree,Agree,Important,Important,Important,Not important,Important,Good idea,Good idea,Slightly Unconcerned,Extremely Concerned,25 - 34,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,Hispanic or Latino,0,0,0,0,0,"Bachelor's degree (For example: BA, AB, BS)","$20,000 - $29,999",-99,-99,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,6,-99,-99,-99,3,6,4,3,5,5,Sometimes,Sometimes,Always,Sometimes,Always,Never,Sometimes
R_1Dr888H79xSFBmf,anonymous,Yes,Yes,About Once a Day,Less Often,A Few Times a Week,Every Few Weeks,Don't use at all,Several Times a Day,Less Often,Don't use at all,Don't use at all,Don't use at all,About Once a Day,,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,sometimes,Agree,Agree,Agree,Neither Agree Nor Disagree,Disagree,Neither important nor unimportant,Neither important nor unimportant,Not important,Not important,Important,I'm not sure,I'm not sure,Neither Concerned nor Unconcerned,Neither Concerned nor Unconcerned,25 - 34,0,0,0,0,0,Something else,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,0,0,Something else,"Master's degree (For example: MA, MS)","$70,000 - $79,999",7,8,8,9,9,8,8,9,9,9,6,6,9,8,7,8,5,4,4,6,6,5,Never,Never,Always,Never,Never,Always,Sometimes
R_1NzyVT1EjrV4icX,anonymous,Yes,Yes,Several Times a Day,Several Times a Day,Several Times a Day,Several Times a Day,A Few Times a Week,Every Few Weeks,About Once a Day,Several Times a Day,Several Times a Day,Several Times a Day,Several Times a Day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"As well, depending on the context, “few” (without the “a” preceding it) could mean little to none. For example, maybe you have few options.",Agree,Agree,Agree,Agree,Agree,Important,Important,Important,Important,Important,Good idea,Good idea,Extremely Concerned,Extremely Concerned,25 - 34,0,Man,0,0,0,0,0,0,Bisexual,0,0,0,Asian,0,0,0,0,0,0,0,"Bachelor's degree (For example: BA, AB, BS)","$20,000 - $29,999",Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Complete Trust - 7,Complete Trust - 7,Complete Trust - 7,Complete Trust - 7,Complete Trust - 7,Complete Trust - 7,Always,Always,Always,Always,Always,Always,Always
R_1FQyM9FAwSC5HR7,anonymous,Yes,Yes,Don't use at all,Several Times a Day,Less Often,Less Often,Less Often,Every Few Weeks,Don't use at all,Don't use at all,Don't use at all,Several Times a Day,Several Times a Day,,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-99,Agree,Agree,Agree,Agree,Disagree,Important,Important,Important,Important,Important,Bad idea,Good idea,Moderately Concerned,Moderately Concerned,25 - 34,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Master's degree (For example: MA, MS)","$80,000 - $89,999",Very Sensitive 10,-99,8,Very Sensitive 10,-99,Very Sensitive 10,-99,-99,Very Sensitive 10,-99,-99,-99,Very Sensitive 10,Very Sensitive 10,-99,7,5,3,5,3,No trust at all - 1,No trust at all - 1,Never,Sometimes,Never,Never,Sometimes,Sometimes,Always
R_3fltGoP1z7c8Puy,anonymous,Yes,Yes,About Once a Day,Several Times a Day,About Once a Day,Several Times a Day,About Once a Day,Several Times a Day,Several Times a Day,About Once a Day,Several Times a Day,About Once a Day,Several Times a Day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I had been answered a very well .,Agree,Agree,Agree,Agree,Agree,Important,Important,Important,Important,Important,Good idea,Good idea,Extremely Concerned,Moderately Concerned,25 - 34,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Bachelor's degree (For example: BA, AB, BS)","$60,000 - $69,999",8,8,Very Sensitive 10,Very Sensitive 10,8,8,8,Very Sensitive 10,9,9,9,9,2,Very Sensitive 10,9,Very Sensitive 10,Complete Trust - 7,Complete Trust - 7,Complete Trust - 7,6,Complete Trust - 7,6,Always,Always,Always,Always,Always,Sometimes,Sometimes
R_1CKPFDqvAs738yZ,anonymous,Yes,Yes,About Once a Day,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,sometimes,Agree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree,Not important,Neither important nor unimportant,Neither important nor unimportant,Important,Important,Good idea,Good idea,Slightly Concerned,Moderately Concerned,25 - 34,Woman,0,0,0,0,0,0,0,0,Prefer not to answer,0,0,0,0,0,0,0,White,0,0,"Master's degree (For example: MA, MS)","$70,000 - $79,999",-99,-99,-99,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,6,5,4,6,5,Complete Trust - 7,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always
R_2zdJWzz5DllRiHw,anonymous,Yes,Yes,A Few Times a Week,A Few Times a Week,A Few Times a Week,A Few Times a Week,A Few Times a Week,A Few Times a Week,A Few Times a Week,A Few Times a Week,A Few Times a Week,A Few Times a Week,A Few Times a Week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,sometimes,Agree,Agree,Agree,Agree,Agree,Not important,Neither important nor unimportant,Important,Important,Important,Good idea,Good idea,Moderately Unconcerned,Moderately Unconcerned,25 - 34,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Bachelor's degree (For example: BA, AB, BS)","$50,000 - $59,999",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Complete Trust - 7,Complete Trust - 7,Complete Trust - 7,Complete Trust - 7,Complete Trust - 7,Complete Trust - 7,Always,Always,Always,Always,Always,Always,Always
R_1jWfcuL7ztMJ5WJ,anonymous,Yes,Yes,Several Times a Day,Don't use at all,Don't use at all,Don't use at all,Less Often,About Once a Day,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-99,Agree,Agree,Agree,Agree,Disagree,Important,Important,Important,Important,Important,Bad idea,Bad idea,Extremely Concerned,Extremely Concerned,45 - 54,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,Associate degree,"$100,000 - $149,999",Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,8,4,2,4,4,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,7,2,5,3,6,6,4,2,Always,Always,Always,Always,Sometimes,Sometimes,Always
R_29crnS0eguzUJj3,anonymous,Yes,Yes,About Once a Day,A Few Times a Week,About Once a Day,Every Few Weeks,Every Few Weeks,A Few Times a Week,Several Times a Day,About Once a Day,About Once a Day,Several Times a Day,Several Times a Day,I'm not sure,No,No,I'm not sure.,Yes,Yes,Yes,No,No,I'm not sure.,I'm not sure.,I'm not sure.,Yes,Yes,Yes,No,No,I'm not sure.,I'm not sure.,Yes,I'm not sure.,I'm not sure.,Yes,I'm not sure.,No,I'm not sure.,Yes,I'm not sure.,I'm not sure.,Yes,I'm not sure.,No,I'm not sure.,Yes,Yes,I'm not sure.,No,I'm not sure.,Yes,I'm not sure.,I'm not sure.,Yes,Yes,I'm not sure.,I'm not sure.,I'm not sure.,Yes,Yes,Yes,Yes,Yes,Yes,I'm not sure.,No,No,Yes,No,I'm not sure.,Yes,-99,Neither Agree Nor Disagree,Agree,Agree,Neither Agree Nor Disagree,Agree,Neither important nor unimportant,Important,Important,Neither important nor unimportant,Important,Good idea,Good idea,Moderately Concerned,Slightly Concerned,35 - 44,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Bachelor's degree (For example: BA, AB, BS)","$70,000 - $79,999",Very Sensitive 10,-99,-99,-99,-99,-99,Very Sensitive 10,Very Sensitive 10,9,9,-99,8,-99,-99,-99,Very Sensitive 10,6,5,4,4,5,5,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes
R_ALjpzPomgiCfvu9,anonymous,Yes,Yes,About Once a Day,Every Few Weeks,About Once a Day,A Few Times a Week,Less Often,Every Few Weeks,A Few Times a Week,About Once a Day,A Few Times a Week,Several Times a Day,Several Times a Day,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,I'm not sure.,No,Yes,Yes,Yes,I'm not sure.,Yes,Yes,No,No,I'm not sure.,No,I'm not sure.,I'm not sure.,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,I'm not sure.,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,I'm not sure.,Yes,Yes,I'm not sure.,Yes,no,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither agree nor disagree,Not important,Not important,Important,Important,Neither important nor unimportant,Good idea,Good idea,Slightly Concerned,Neither Concerned nor Unconcerned,25 - 34,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Bachelor's degree (For example: BA, AB, BS)","$50,000 - $59,999",Very Sensitive 10,8,4,6,6,5,5,6,7,8,7,9,8,6,5,3,6,5,6,5,5,5,Never,Sometimes,Always,Sometimes,Sometimes,Always,Always
