responseid,distributionchannel,q43,social_media_use,how_often_1,how_often_2,how_often_3,how_often_4,how_often_5,how_often_6,how_often_7,how_often_8,how_often_9,how_often_10,how_often_11,tweets_public,insta_public,researchers_1,researchers_2,researchers_3,researchers_4,researchers_5,researchers_6,researchers_7,researchers_8,researchers_9,researchers_10,researchers_11,researchers_12,researchers_13,researchers_14,researchers_15,researchers_16,researchers_17,researchers_18,researchers_19,researchers_20,sm_companies_1,sm_companies_2,sm_companies_3,sm_companies_4,sm_companies_5,sm_companies_6,sm_companies_7,sm_companies_8,sm_companies_9,sm_companies_10,sm_companies_11,sm_companies_12,sm_companies_13,sm_companies_14,sm_companies_15,sm_companies_16,sm_companies_17,sm_companies_18,sm_companies_19,sm_companies_20,journalists_1,journalists_2,journalists_3,journalists_4,journalists_5,journalists_6,journalists_7,journalists_8,journalists_9,journalists_10,journalists_11,journalists_12,journalists_13,journalists_14,journalists_15,journalists_16,sometimes,sometimes_text,digital_privacy_1,digital_privacy_2,digital_privacy_3,digital_privacy_4,social_science,data_archive_1,data_archive_2,data_archive_3,data_archive_4,data_archive_5,secure_archive,anonymous_archive,concern-misuse,concern-harm,age,gender_identity_1,gender_identity_2,gender_identity_3,gender_identity_4,gender_identity_5,gender_identity_6,sexual_orientation_1,sexual_orientation_2,sexual_orientation_3,sexual_orientation_4,sexual_orientation_5,race_ethnicity_1,race_ethnicity_2,race_ethnicity_3,race_ethnicity_4,race_ethnicity_5,race_ethnicity_6,race_ethnicity_7,race_ethnicity_8,race_ethnicity_9,education,income,sensitivity_1,sensitivity_2,sensitivity_3,sensitivity_4,sensitivity_5,sensitivity_6,sensitivity_7,sensitivity_8,sensitivity_9,sensitivity_10,sensitivity_11,sensitivity_12,sensitivity_13,sensitivity_14,sensitivity_15,sensitivity_16,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,privacy_behaviors_1,privacy_behaviors_2,privacy_behaviors_3,privacy_behaviors_4,privacy_behaviors_5,privacy_behaviors_6,privacy_behaviors_7
R_3FXrXtg2n2GkeT4,anonymous,Yes,Yes,Several Times a Day,A Few Times a Week,A Few Times a Week,About Once a Day,A Few Times a Week,About Once a Day,About Once a Day,Several Times a Day,A Few Times a Week,About Once a Day,About Once a Day,No,No,Yes,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,,No,Yes,I'm not sure.,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,Yes,-99,-99,-99,-99,Yes,yup,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,,Neither important nor unimportant,Not important,Neither important nor unimportant,Not important,Neither important nor unimportant,,,,,25 - 34,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,Native Hawaiian or other Pacific Islander,0,0,0,High school graduate - high school diploma or equivalent (for example: GED),"$40,000 - $49,999",3,-99,-99,2,6,4,-99,Not Sensitive 1,-99,-99,-99,-99,-99,-99,4,-99,2,5,3,4,4,4,Never,Never,Sometimes,Sometimes,Always,Never,Never
R_usoOyr9obtGrVYt,anonymous,Yes,Yes,Several Times a Day,Several Times a Day,Don't use at all,Don't use at all,Don't use at all,Don't use at all,A Few Times a Week,Don't use at all,Don't use at all,Don't use at all,A Few Times a Week,,Yes,Yes,Yes,No,Yes,No,,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,-99,-99,Yes,Yes,-99,Yes,Yes,-99,No,Yes,-99,Yes,Yes,-99,Yes,-99,Yes,I feel like some of these would have special circumstances connected that would make a difference in my opinion,Agree,Agree,Agree,Agree,,Important,Neither important nor unimportant,Important,Important,Important,,,,,35 - 44,0,0,0,Nonbinary/genderqueer,0,0,0,0,0,0,Something else,0,0,0,0,0,0,White,0,0,"Bachelor's degree (For example: BA, AB, BS)","Less than $10,000",-99,-99,8,-99,Very Sensitive 10,Very Sensitive 10,7,6,Not Sensitive 1,-99,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,8,2,Complete Trust - 7,Complete Trust - 7,No trust at all - 1,No trust at all - 1,2,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes
R_12aMEzqtdFbvGVD,anonymous,Yes,Yes,Several Times a Day,Several Times a Day,Every Few Weeks,Several Times a Day,Every Few Weeks,A Few Times a Week,A Few Times a Week,A Few Times a Week,A Few Times a Week,A Few Times a Week,About Once a Day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,sometimes,Agree,Disagree,Agree,Disagree,,Important,Important,Important,Important,Important,,,,,35 - 44,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Master's degree (For example: MA, MS)","$100,000 - $149,999",-99,-99,-99,-99,-99,-99,-99,-99,Very Sensitive 10,-99,-99,-99,-99,-99,-99,-99,Complete Trust - 7,Complete Trust - 7,Complete Trust - 7,Complete Trust - 7,6,4,Sometimes,Always,Always,Sometimes,Always,Always,Sometimes
R_1PZXeFYtPWLPEEQ,anonymous,Yes,Yes,Several Times a Day,A Few Times a Week,Every Few Weeks,Don't use at all,Less Often,Less Often,Less Often,Don't use at all,Every Few Weeks,Don't use at all,About Once a Day,Yes,Yes,-99,Yes,-99,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,-99,Yes,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,Yes,-99,-99,-99,-99,-99,-99,Yes,"because sometimes it does ""DEPEND""",Agree,Agree,Agree,Agree,,Neither important nor unimportant,-99,-99,-99,-99,,,,,75 - 84,Woman,Man,Transgender,Nonbinary/genderqueer,0,0,0,Heterosexual (straight),Bisexual,Prefer not to answer,0,0,0,0,0,0,0,White,0,0,Some college but no degree,"$30,000 - $39,999",-99,-99,Very Sensitive 10,-99,Very Sensitive 10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,5,-99,-99,-99,-99,-99,-99,Sometimes,Sometimes,-99,-99,Sometimes,-99
R_1mft3hCvmT2WNbv,anonymous,Yes,Yes,Several Times a Day,Don't use at all,Don't use at all,Several Times a Day,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,,,Yes,No,No,No,I'm not sure.,,Yes,No,I'm not sure.,No,No,No,No,No,I'm not sure.,I'm not sure.,No,No,No,I'm not sure.,Yes,No,No,No,,No,I'm not sure.,No,No,No,No,No,No,No,I'm not sure.,I'm not sure.,No,No,No,I'm not sure.,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,not sure how it would effect the public,Agree,Agree,Agree,Agree,,Important,Important,Important,Neither important nor unimportant,Important,,,,,75 - 84,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,High school graduate - high school diploma or equivalent (for example: GED),"$30,000 - $39,999",Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,8,6,4,6,6,4,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,4,4,3,4,3,3,No trust at all - 1,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Always
R_2R2ZRAS147c4lYQ,anonymous,Yes,Yes,Several Times a Day,A Few Times a Week,Don't use at all,Don't use at all,A Few Times a Week,Don't use at all,Don't use at all,Don't use at all,Every Few Weeks,Every Few Weeks,About Once a Day,Yes,Yes,-99,-99,I'm not sure.,-99,-99,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-99,-99,-99,-99,I'm not sure.,-99,-99,-99,-99,-99,-99,-99,No,I'm not sure.,No,No,I'm not sure.,I'm not sure.,Yes,No,Yes,No,No,No,No,No,Yes,I'm not sure.,Yes,It is not black or white,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree,,Important,Neither important nor unimportant,Important,Important,Important,,,,,75 - 84,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,Associate degree,"Less than $10,000",-99,-99,-99,Very Sensitive 10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,Always,-99
R_24wQFOz77THmyIY,anonymous,Yes,Yes,A Few Times a Week,Don't use at all,A Few Times a Week,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,A Few Times a Week,Don't use at all,Don't use at all,I'm not sure,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,When I don't have a firm answer,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,,Important,Important,Important,Important,Important,,,,,75 - 84,0,Man,0,0,0,0,Gay or lesbian,0,0,0,0,0,0,0,0,0,0,White,0,0,"Bachelor's degree (For example: BA, AB, BS)","$20,000 - $29,999",Very Sensitive 10,Not Sensitive 1,Not Sensitive 1,Not Sensitive 1,Not Sensitive 1,Not Sensitive 1,Not Sensitive 1,Not Sensitive 1,Not Sensitive 1,Not Sensitive 1,Not Sensitive 1,Not Sensitive 1,Not Sensitive 1,Not Sensitive 1,Not Sensitive 1,Not Sensitive 1,Complete Trust - 7,3,6,6,4,3,Sometimes,Never,Never,Sometimes,Sometimes,Always,Always
R_2P69qh0T8ak3Qzh,anonymous,Yes,Yes,About Once a Day,About Once a Day,Don't use at all,About Once a Day,Don't use at all,A Few Times a Week,Every Few Weeks,About Once a Day,About Once a Day,Less Often,About Once a Day,Yes,Yes,No,No,No,No,No,,Yes,Yes,I'm not sure.,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,I'm not sure.,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,i would need more info about what the researchers were studying,Agree,Agree,Agree,Agree,,Important,Important,Important,Important,Important,,,,,35 - 44,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Bachelor's degree (For example: BA, AB, BS)","$90,000 - $99,999",Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,4,4,6,No trust at all - 1,No trust at all - 1,No trust at all - 1,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
R_1LBTxhm2CCcu9AK,anonymous,Yes,Yes,Every Few Weeks,Every Few Weeks,Less Often,Less Often,Less Often,Don't use at all,Don't use at all,Less Often,Every Few Weeks,Don't use at all,A Few Times a Week,Yes,Yes,No,No,No,No,No,,No,No,No,No,No,I'm not sure.,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,confidentiality concern,Agree,Agree,Agree,Agree,,Important,Important,Important,Important,Important,,,,,55 - 64,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Bachelor's degree (For example: BA, AB, BS)","$30,000 - $39,999",Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Not Sensitive 1,Not Sensitive 1,Not Sensitive 1,Not Sensitive 1,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,5,-99,-99,-99,-99,-99,-99,-99,Always,-99,-99,-99,-99
R_1j6UReNElaBhvYg,anonymous,Yes,Yes,Several Times a Day,Several Times a Day,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Several Times a Day,A Few Times a Week,Don't use at all,Don't use at all,About Once a Day,,Yes,No,Yes,No,Yes,Yes,,No,Yes,Yes,I'm not sure.,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Im not sure,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Disagree,,Not important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Important,,,,,18 - 24,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,Hispanic or Latino,0,0,0,0,0,High school graduate - high school diploma or equivalent (for example: GED),"Less than $10,000",-99,-99,-99,6,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,5,5,3,3,4,3,Never,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes
